#Indent,Branch,PV,Description,Latch,Delay,Count,Filter,Guidance
0,LCLS,,,,,,,
1,BCS,,,,,,,
,,DSC:LTU0:BC02:CH1_A,,false,0,,DSC:LTU0:BC02:CH1_AFP,
,,DSC:LTU0:BC02:CH2_A,,false,0,,DSC:LTU0:BC02:CH2_AFP,
,,DSC:LTU0:BC02:CH3_A,,false,0,,DSC:LTU0:BC02:CH3_AFP,
,,DSC:LTU0:BC02:CH4_A,,false,0,,DSC:LTU0:BC02:CH4_AFP,
,,DSC:LTU0:BC02:CH5_A,,false,0,,DSC:LTU0:BC02:CH5_AFP,
,,DSC:LTU0:BC02:CH6_A,,false,0,,DSC:LTU0:BC02:CH6_AFP,
,,DSC:LTU0:BC02:CH7_A,,false,0,,DSC:LTU0:BC02:CH7_AFP,
,,DSC:LTU0:BC02:CH8_A,,false,0,,DSC:LTU0:BC02:CH8_AFP,
6,BCS:GLOBAL:DSC:LTU0:BC02:B,,,,,,,"BCS PLC (DSC) BC02 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC02:B ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC02:B:STATSUMY ,"
,,DSC:LTU0:BC02:CH1_B,,false,0,,DSC:LTU0:BC02:CH1_BFP,
,,DSC:LTU0:BC02:CH2_B,,false,0,,DSC:LTU0:BC02:CH2_BFP,
,,DSC:LTU0:BC02:CH3_B,,false,0,,DSC:LTU0:BC02:CH3_BFP,
,,DSC:LTU0:BC02:CH4_B,,false,0,,DSC:LTU0:BC02:CH4_BFP,
,,DSC:LTU0:BC02:CH5_B,,false,0,,DSC:LTU0:BC02:CH5_BFP,
,,DSC:LTU0:BC02:CH6_B,,false,0,,DSC:LTU0:BC02:CH6_BFP,
,,DSC:LTU0:BC02:CH7_B,,false,0,,DSC:LTU0:BC02:CH7_BFP,
,,DSC:LTU0:BC02:CH8_B,,false,0,,DSC:LTU0:BC02:CH8_BFP,
6,BCS:GLOBAL:DSC:LTU0:BC03:A,,,,,,,"BCS PLC (DSC) BC03 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC03:A ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC03:A:STATSUMY ,"
,,DSC:LTU0:BC03:CH1_A,,false,0,,DSC:LTU0:BC03:CH1_AFP,
,,DSC:LTU0:BC03:CH2_A,,false,0,,DSC:LTU0:BC03:CH2_AFP,
,,DSC:LTU0:BC03:CH3_A,,false,0,,DSC:LTU0:BC03:CH3_AFP,
,,DSC:LTU0:BC03:CH4_A,,false,0,,DSC:LTU0:BC03:CH4_AFP,
,,DSC:LTU0:BC03:CH5_A,,false,0,,DSC:LTU0:BC03:CH5_AFP,
,,DSC:LTU0:BC03:CH6_A,,false,0,,DSC:LTU0:BC03:CH6_AFP,
,,DSC:LTU0:BC03:CH7_A,,false,0,,DSC:LTU0:BC03:CH7_AFP,
,,DSC:LTU0:BC03:CH8_A,,false,0,,DSC:LTU0:BC03:CH8_AFP,
6,BCS:GLOBAL:DSC:LTU0:BC03:B,,,,,,,"BCS PLC (DSC) BC01 ,Group Name: BCS:GLOBAL:DSC:LTU0:BC03:B ,Summary PV: BCS:GLOBAL:DSC:LTU0:BC03:B:STATSUMY ,"
,,DSC:LTU0:BC03:CH1_B,,false,0,,DSC:LTU0:BC03:CH1_BFP,
